name,url
8, 2016, GENERAL",http://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2015
"JUNE 7, 2016, PRIMARY",http://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2015
