id,name,url
41,2014 GENERAL,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=41
21,2010 GENERAL,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=21
6,2004 GENERAL,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=6
44,2009 SPECIAL RUNOFF (STATE SENATE 26),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=44
46,2009 SPECIAL ELECTION (ASSEMBLY 72),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=46
48,2010 SPECIAL ELECTION (STATE SENATE 37),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=48
54,2010 SPECIAL RUNOFF (STATE SENATE 15),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=54
26,2012 GENERAL,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=26
99,2015 SPECIAL ELECTION (STATE SENATE 21),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=99
132,2017 SPECIAL RUNOFF (ASSEMBLY 51),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=132
86,2013 SPECIAL ELECTION (STATE SENATE 26),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=86
127,2017 SPECIAL ELECTION (ASSEMBLY 51),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=127
73,2013 SPECIAL ELECTION (STATE SENATE 04),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=73
100,2015 SPECIAL ELECTION (STATE SENATE 37),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=100
53,2010 SPECIAL ELECTION (STATE SENATE 15),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=53
76,2013 SPECIAL ELECTION (STATE SENATE 16),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=76
56,2011 SPECIAL RUNOFF (STATE SENATE 01),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=56
61,2011 SPECIAL ELECTION (STATE SENATE 17),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=61
14,2003 SPECIAL ELECTION (GOVERNOR),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14
83,2013 SPECIAL RUNOFF (ASSEMBLY 52),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=83
141,2018 SPECIAL ELECTION (STATE SENATE 32),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=141
84,2013 SPECIAL ELECTION (ASSEMBLY 45),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=84
